"Putamen; caudal, medial, dorsal",cocomac:1098,putamen,UBERON:0001874,FMA:61834
Amygdala,cocomac:11,amygdala,UBERON:0001876,FMA:61841
Nucleus centralis lateralis thalami,cocomac:2150,central lateral nucleus,UBERON:0003036,FMA:62170
Nucleus basalis of Meynert,cocomac:1944,basal nucleus of telencephalon,UBERON:0010010,FMA:61887
Stria medullaris thalami,cocomac:2121,stria medullaris,UBERON:0006086,FMA:62080
central amygdaloid nucleus,cocomac:1432,central amygdaloid nucleus,UBERON:0002883,FMA:74047
Nucleus putamen,cocomac:1598,putamen,UBERON:0001874,FMA:61834
medial septal nucleus,cocomac:1258,medial septal nucleus,UBERON:0001877,FMA:61879
Medial geniculate complex,cocomac:1201,medial geniculate body,UBERON:0001927,FMA:62211
Lateral basal nucleus of the amygdala,cocomac:4,lateral part of basal amygdaloid nucleus,UBERON:0002888,FMA:68857
Nucleus paraventricularis hypothalami,cocomac:1685,paraventricular nucleus of hypothalamus,UBERON:0001930,FMA:62320
Retrosplenial cortex,cocomac:1630,retrosplenial region,UBERON:0013531,
Corpus geniculatum mediale,cocomac:369,medial geniculate body,UBERON:0001927,FMA:62211
Zona incerta,cocomac:1697,zona incerta,UBERON:0001907,FMA:62038
Amygdala,cocomac:989,amygdala,UBERON:0001876,FMA:61841
anterior hypothalamic area,cocomac:1969,anterior nucleus of hypothalamus,UBERON:0002634,FMA:62319
Nucleus anterior hypothalami,cocomac:2158,anterior nucleus of hypothalamus,UBERON:0002634,FMA:62319
"Putamen; rostral, lateral, ventral",cocomac:980,putamen,UBERON:0001874,FMA:61834
Nucleus dentatus cerebelli,cocomac:2066,dentate nucleus,UBERON:0002132,FMA:72260
fornix,cocomac:2034,fornix of brain,UBERON:0000052,FMA:61965FMA:83865
"Putamen; middle, medial, ventral",cocomac:973,putamen,UBERON:0001874,FMA:61834
striatum,cocomac:943,striatum,UBERON:0002435,FMA:77618FMA:83683
Lateral Geniculate Nucleus,cocomac:133,lateral geniculate body,UBERON:0001926,FMA:62209
central amygdaloid nucleus,cocomac:926,central amygdaloid nucleus,UBERON:0002883,FMA:74047
Colliculus superior,cocomac:2163,superior colliculus,UBERON:0001945,FMA:62403
Nucleus filiformis,cocomac:1667,paraventricular nucleus of hypothalamus,UBERON:0001930,FMA:62320
Forel's Field H1,cocomac:1671,ventral thalamic fasciculus,UBERON:0022254,FMA:62065
Thalamus,cocomac:1115,dorsal plus ventral thalamus,UBERON:0001897,
Tectum mesencephali,cocomac:2351,midbrain tectum,UBERON:0002314,FMA:83902
entorhinal cortex,cocomac:1532,entorhinal cortex,UBERON:0002728,FMA:72356
Central nucleus of the amygdala,cocomac:2277,central amygdaloid nucleus,UBERON:0002883,FMA:74047
presubiculum,cocomac:288,presubiculum,UBERON:0001953,FMA:62486
Nucleus parataenialis thalami,cocomac:229,paratenial nucleus,UBERON:0002992,FMA:62151
nucleus paraventricularis anterior thalami,cocomac:728,anterior paraventricular nucleus of thalamus,UBERON:0000434,FMA:76962
Area temporalis superior,cocomac:1749,Brodmann (1909) area 22,UBERON:0013553,FMA:68619
Subiculum,cocomac:21,subiculum,UBERON:0002191,FMA:74414
Nucleus of the lateral olfactory tract,cocomac:1326,nucleus of lateral olfactory tract,UBERON:0002893,FMA:61865
supramammillary nucleus,cocomac:1967,supramammillary nucleus,UBERON:0001940,FMA:62347
Stria olfactoria medialis,cocomac:2128,medial olfactory stria,UBERON:0034734,FMA:77627
Nucleus lateralis thalami,cocomac:219,lateral nuclear group of thalamus,UBERON:0002736,FMA:62174
Nucleus interstitialis of the posterior commissure,cocomac:1675,nucleus of posterior commissure,UBERON:0002711,FMA:68463
Nucleus triangularis septi,cocomac:2131,triangular septal nucleus,UBERON:0002977,FMA:61880
sublentiform nucleus,cocomac:672,sublentiform nucleus,UBERON:0002578,FMA:72404
Nucleus of the pretectal area,cocomac:675,pretectal nucleus,UBERON:0014450,FMA:72401
Secondary somatosensory cortex,cocomac:531,secondary somatosensory cortex,UBERON:0008934,
Medial pulvinar nucleus,cocomac:561,medial pulvinar nucleus,UBERON:0002638,FMA:62182
