superior division of ventral cortical nucleus,cocomac:476,posteromedial cortical amygdaloid nucleus,UBERON:0035001,
"dorsal lateral geniculate nucleus, parvocellular region, external part",cocomac:1161,parvocellular layer of dorsal nucleus of lateral geniculate body,UBERON:0013607,FMA:76992
"dorsal lateral geniculate nucleus, parvocellular region, external part",cocomac:1161,lateral geniculate nucleus parvocellular layer,UBERON:0022319,
"dorsal lateral geniculate nucleus, parvocellular region, external part",cocomac:1161,dorsal lateral geniculate nucleus,UBERON:0002479,FMA:62214
"dorsal lateral geniculate nucleus, parvocellular region, external part",cocomac:1161,magnocellular layer of dorsal nucleus of lateral geniculate body,UBERON:0013606,FMA:76989
"dorsal lateral geniculate nucleus, parvocellular region, external part",cocomac:1161,koniocellular layer of dorsal nucleus of lateral geniculate body,UBERON:0013615,FMA:76988
"dorsal lateral geniculate nucleus, parvocellular region, external part",cocomac:1161,parvocellular part of red nucleus,UBERON:0002938,FMA:72430
"dorsal lateral geniculate nucleus, parvocellular region, external part",cocomac:1161,dorsal nucleus of medial geniculate body,UBERON:0002758,FMA:62216
CA2 subfield of Ammons horn,cocomac:305,Ammon's horn,UBERON:0001954,FMA:62493
CA2 subfield of Ammons horn,cocomac:305,CA2 field of hippocampus,UBERON:0003882,FMA:74044
CA2 subfield of Ammons horn,cocomac:305,pyramidal layer of CA2,UBERON:0014549,FMA:277870
CA2 subfield of Ammons horn,cocomac:305,CA2 stratum lacunosum moleculare,UBERON:0014558,FMA:277852
CA2 subfield of Ammons horn,cocomac:305,CA2 stratum oriens,UBERON:0014551,FMA:277858
CA2 subfield of Ammons horn,cocomac:305,CA2 stratum radiatum,UBERON:0014555,FMA:277864
Anterior inferotemporal area (ventral),cocomac:996,magnocellular part of ventral anterior nucleus,UBERON:0002935,FMA:62192
Anterior inferotemporal area (ventral),cocomac:996,ventral anterior nucleus of thalamus,UBERON:0002637,FMA:62184
Anterior inferotemporal area (ventral),cocomac:996,parvicellular part of ventral anterior nucleus,UBERON:0002937,FMA:62191
Anterior inferotemporal area (ventral),cocomac:996,anterior amygdaloid area,UBERON:0002890,FMA:61861
Anterior inferotemporal area (ventral),cocomac:996,anterior transverse temporal area 41,UBERON:0006095,FMA:68638
Area 28a,cocomac:18,Brodmann (1909) area 18,UBERON:0006473,FMA:68615
Area 28a,cocomac:18,Brodmann (1909) area 23,UBERON:0013554,FMA:68620
Area 28a,cocomac:18,Brodmann (1909) area 32,UBERON:0013560,FMA:68629
Area 28a,cocomac:18,Brodmann (1909) area 26,UBERON:0004718,FMA:68623
Area 28a,cocomac:18,Brodmann (1909) area 6,UBERON:0006472,FMA:68602
Area 28a,cocomac:18,Brodmann (1909) area 5,UBERON:0006471,FMA:68601
Area 28a,cocomac:18,posterior transverse temporal area 42,UBERON:0006096,FMA:68639FMA:236867
Area 28a,cocomac:18,anterior transverse temporal area 41,UBERON:0006095,FMA:68638
Area 28a,cocomac:18,Brodmann (1909) area 19,UBERON:0013550,FMA:68616
Area 28a,cocomac:18,Brodmann (1909) area 27,UBERON:0013558,FMA:68624
Area 28a,cocomac:18,Brodmann (1909) area 11,UBERON:0013528,FMA:68608
Area 28a,cocomac:18,Brodmann (1909) area 24,UBERON:0006101,FMA:68621
Area 28a,cocomac:18,Brodmann (1909) area 30,UBERON:0006474,FMA:68627
Area 28a,cocomac:18,Brodmann (1909) area 31,UBERON:0006475,FMA:68628
Area 28a,cocomac:18,Brodmann (1909) area 20,UBERON:0013551,FMA:68617
Area 28a,cocomac:18,Brodmann (1909) area 22,UBERON:0013553,FMA:68619
Area 28a,cocomac:18,Brodmann (1909) area 9,UBERON:0013540,FMA:68606
Area 28a,cocomac:18,Brodmann (1909) area 28,UBERON:0013559,FMA:68625
Area 28a,cocomac:18,Brodmann (1909) area 2,UBERON:0013533,FMA:68598
Area 28a,cocomac:18,Brodmann (1909) area 8,UBERON:0013539,FMA:68605
"Nucleus medialis dorsalis thalami, pars parvocellularis",cocomac:547,dorsal tegmental nucleus pars dorsalis,UBERON:0014568,
"Nucleus medialis dorsalis thalami, pars parvocellularis",cocomac:547,"commissura rostral, pars dorsalis",UBERON:2000638,
"Nucleus medialis dorsalis thalami, pars parvocellularis",cocomac:547,pars postrema of ventral lateral nucleus,UBERON:0002617,FMA:62196
"Nucleus medialis dorsalis thalami, pars parvocellularis",cocomac:547,dorsal tegmental nucleus pars ventralis,UBERON:0014569,
"Nucleus medialis dorsalis thalami, pars parvocellularis",cocomac:547,ventral posteromedial nucleus of thalamus,UBERON:0002945,FMA:62202
"Nucleus medialis dorsalis thalami, pars parvocellularis",cocomac:547,medial dorsal nucleus of thalamus,UBERON:0002739,FMA:62156
"Nucleus medialis dorsalis thalami, pars parvocellularis",cocomac:547,anteroventral nucleus of thalamus,UBERON:0002685,FMA:62143
"Nucleus medialis dorsalis thalami, pars parvocellularis",cocomac:547,ventral lateral nucleus of thalamus,UBERON:0001925,FMA:62186
"Nucleus medialis dorsalis thalami, pars parvocellularis",cocomac:547,anterodorsal nucleus of thalamus,UBERON:0002679,FMA:62141
"Nucleus medialis dorsalis thalami, pars parvocellularis",cocomac:547,centromedian nucleus of thalamus,UBERON:0002972,FMA:62165
"Nucleus medialis dorsalis thalami, pars parvocellularis",cocomac:547,lateral posterior nucleus of thalamus,UBERON:0002983,FMA:62177
